,Name,Address,Additional Notes,Source FINAL,Status FINAL,Status FPC,Status Plentiful,Last Updated FINAL,Last Updated FPC,Last Updated Plentiful,Hours FINAL,Hours FPC,Hours Plentiful,Website,ID Required,Zipcode,lat,lng,City,State,id
177,NEBHDCo's Golden Harvest Pantry,"376 Throop Ave, 1st Floor","- Registration required
    - Telephone number and a valid ID required
- Prepackaged grocery bags include fresh produce and shelf-stable items",Plentiful,open,open,open,7/13/2023 1:00 AM,4/21/2023,7/13/2023 1:00 AM,"2023-07-18 09:00AM-12:00PM
2023-07-20 09:00AM-12:00PM
2023-07-25 09:00AM-12:00PM
2023-07-27 09:00AM-12:00PM
2023-08-01 09:00AM-12:00PM
2023-08-03 09:00AM-12:00PM
2023-08-08 09:00AM-12:00PM
2023-08-10 09:00AM-12:00PM
2023-08-15 09:00AM-12:00PM
2023-08-17 09:00AM-12:00PM
2023-08-22 09:00AM-12:00PM
2023-08-24 09:00AM-12:00PM
2023-08-29 09:00AM-12:00PM
2023-08-31 09:00AM-12:00PM
2023-09-05 09:00AM-12:00PM
2023-09-07 09:00AM-12:00PM
2023-09-12 09:00AM-12:00PM
2023-09-14 09:00AM-12:00PM
2023-09-19 09:00AM-12:00PM
2023-09-21 09:00AM-12:00PM
2023-09-26 09:00AM-12:00PM
2023-09-28 09:00AM-12:00PM
2023-10-03 09:00AM-12:00PM
2023-10-05 09:00AM-12:00PM
2023-10-10 09:00AM-12:00PM","Tu,Th 10:00AM-12:00PM","2023-07-18 09:00AM-12:00PM
2023-07-20 09:00AM-12:00PM
2023-07-25 09:00AM-12:00PM
2023-07-27 09:00AM-12:00PM
2023-08-01 09:00AM-12:00PM
2023-08-03 09:00AM-12:00PM
2023-08-08 09:00AM-12:00PM
2023-08-10 09:00AM-12:00PM
2023-08-15 09:00AM-12:00PM
2023-08-17 09:00AM-12:00PM
2023-08-22 09:00AM-12:00PM
2023-08-24 09:00AM-12:00PM
2023-08-29 09:00AM-12:00PM
2023-08-31 09:00AM-12:00PM
2023-09-05 09:00AM-12:00PM
2023-09-07 09:00AM-12:00PM
2023-09-12 09:00AM-12:00PM
2023-09-14 09:00AM-12:00PM
2023-09-19 09:00AM-12:00PM
2023-09-21 09:00AM-12:00PM
2023-09-26 09:00AM-12:00PM
2023-09-28 09:00AM-12:00PM
2023-10-03 09:00AM-12:00PM
2023-10-05 09:00AM-12:00PM
2023-10-10 09:00AM-12:00PM",https://nebhdco.org/golden-harvest-food-pantry/,yes,11221,40.691306,-73.942902,Brooklyn,NY,4267a1b0-dabc-4dad-8704-5efe40733e50
178,Lehman College Food Pantry,250 Bedford Blvd,"- Registration required
- Lehman students and CUNY students are welcomed to register for any on-campus bulk pickups that are hosted at Lehman College but virtual pantry service is limited to currently enrolled Lehman students",FPC,open,open,,5/3/2023 8:00 PM,5/4/2023,,"Tu,Th 12:00PM-04:00PM","Tu,Th 12:00PM-04:00PM",,https://www.lehman.edu/student-leadership/lehman-food-bank.php,yes,10468,40.8708651,-73.8867486,Bronx,NY,ab784f4c-7be6-41d0-b539-0024a8dfdb1f
179,"Pakistani American Youth Organization, Payo's Halal Food Pantry",1045 Coney Island Ave,"- Registration required
- Food donations:
    - Perishable and non-perishable goods accepted
- Halal and non-halal food served",Plentiful,open,open,open,7/13/2023 1:00 AM,4/24/2023,7/13/2023 1:00 AM,"2023-07-14 01:30PM-02:30PM
2023-07-20 03:00PM-05:00PM
2023-07-21 01:30PM-02:30PM
2023-07-27 03:00PM-05:00PM
2023-07-28 01:30PM-02:30PM
2023-08-03 03:00PM-05:00PM
2023-08-04 01:30PM-02:30PM
2023-08-10 03:00PM-05:00PM
2023-08-11 01:30PM-02:30PM
2023-08-17 03:00PM-05:00PM
2023-08-18 01:30PM-02:30PM
2023-08-24 03:00PM-05:00PM
2023-08-25 01:30PM-02:30PM
2023-08-31 03:00PM-05:00PM
2023-09-01 01:30PM-02:30PM
2023-09-07 03:00PM-05:00PM
2023-09-08 01:30PM-02:30PM
2023-09-14 03:00PM-05:00PM
2023-09-15 01:30PM-02:30PM
2023-09-21 03:00PM-05:00PM
2023-09-22 01:30PM-02:30PM
2023-09-28 03:00PM-05:00PM
2023-09-29 01:30PM-02:30PM
2023-10-05 03:00PM-05:00PM
2023-10-06 01:30PM-02:30PM",Th 03:00PM-05:00PM,"2023-07-14 01:30PM-02:30PM
2023-07-20 03:00PM-05:00PM
2023-07-21 01:30PM-02:30PM
2023-07-27 03:00PM-05:00PM
2023-07-28 01:30PM-02:30PM
2023-08-03 03:00PM-05:00PM
2023-08-04 01:30PM-02:30PM
2023-08-10 03:00PM-05:00PM
2023-08-11 01:30PM-02:30PM
2023-08-17 03:00PM-05:00PM
2023-08-18 01:30PM-02:30PM
2023-08-24 03:00PM-05:00PM
2023-08-25 01:30PM-02:30PM
2023-08-31 03:00PM-05:00PM
2023-09-01 01:30PM-02:30PM
2023-09-07 03:00PM-05:00PM
2023-09-08 01:30PM-02:30PM
2023-09-14 03:00PM-05:00PM
2023-09-15 01:30PM-02:30PM
2023-09-21 03:00PM-05:00PM
2023-09-22 01:30PM-02:30PM
2023-09-28 03:00PM-05:00PM
2023-09-29 01:30PM-02:30PM
2023-10-05 03:00PM-05:00PM
2023-10-06 01:30PM-02:30PM",https://payousa.org,no,11230,40.632214,-73.966545,Brooklyn,NY,2c4fa0d4-5462-46d7-87b7-ca034064316e
180,Olivet Gospel Church Community Food Distribution Program,3900 Dyre Ave,"- Registration on the Plentiful app. 
- Open to everyone",FPC,open,open,,4/26/2023 8:00 PM,4/27/2023,,Th 04:00PM-06:00PM,Th 04:00PM-06:00PM,,https://www.olivetgospelchurch.org,yes,10466,40.88954267,-73.83101579,Bronx,NY,d7799aab-6561-4ac6-847d-7976bb587ba6
181,Part of the Solution (POTS) - Food Pantry,2759 Webster Ave,"- Registration is required. To register, call (718) 220-4892, x101, and intake will arrange appointments.
- Groceries are currently being distributed via pre-packaged bags
- Get hot meals registration is not required",FPC,open,open,,2/23/2023 7:00 PM,2/24/2023,,"We 07:30AM-09:30AM
mo,tu,we,th,fr,sa 08:30AM-11:30AM 
mo,tu,we,th,fr,sa 12:30PM-03:30PM ","We 07:30AM-09:30AM
mo,tu,we,th,fr,sa 08:30AM-11:30AM 
mo,tu,we,th,fr,sa 12:30PM-03:30PM ",,http://www.potsbronx.org/,yes,10458,40.8654811,-73.8863601,Bronx,NY,e7a55759-3660-4b0a-9cd6-7f521ae6bb58
182,Grace Episcopal Church - Food Pantry,1909 Vyse Ave,- Registration is closed until further notice,Plentiful,open,open,open,7/13/2023 1:00 AM,6/21/2023,7/13/2023 1:00 AM,"2023-07-20 07:30AM-10:15AM ""[plentiful appointment]""
2023-07-27 07:30AM-10:15AM ""[plentiful appointment]""
2023-08-03 07:30AM-10:15AM ""[plentiful appointment]""
2023-08-10 07:30AM-10:15AM ""[plentiful appointment]""
2023-08-17 07:30AM-10:15AM ""[plentiful appointment]""
2023-08-24 07:30AM-10:15AM ""[plentiful appointment]""
2023-08-31 07:30AM-10:15AM ""[plentiful appointment]""
2023-09-07 07:30AM-10:15AM ""[plentiful appointment]""
2023-09-14 07:30AM-10:15AM ""[plentiful appointment]""
2023-09-21 07:30AM-10:15AM ""[plentiful appointment]""
2023-09-28 07:30AM-10:15AM ""[plentiful appointment]""
2023-10-05 07:30AM-10:15AM ""[plentiful appointment]""",Th 7:00AM-11:00AM,"2023-07-20 07:30AM-10:15AM ""[plentiful appointment]""
2023-07-27 07:30AM-10:15AM ""[plentiful appointment]""
2023-08-03 07:30AM-10:15AM ""[plentiful appointment]""
2023-08-10 07:30AM-10:15AM ""[plentiful appointment]""
2023-08-17 07:30AM-10:15AM ""[plentiful appointment]""
2023-08-24 07:30AM-10:15AM ""[plentiful appointment]""
2023-08-31 07:30AM-10:15AM ""[plentiful appointment]""
2023-09-07 07:30AM-10:15AM ""[plentiful appointment]""
2023-09-14 07:30AM-10:15AM ""[plentiful appointment]""
2023-09-21 07:30AM-10:15AM ""[plentiful appointment]""
2023-09-28 07:30AM-10:15AM ""[plentiful appointment]""
2023-10-05 07:30AM-10:15AM ""[plentiful appointment]""",https://www.facebook.com/Gracewestfarms,yes,10460,40.8406082,-73.8835754,Bronx,NY,b4b17132-0557-466b-bf88-b78eb7160f5f
183,Community League of the Height's Pantry,508 W 159 St,"- Registration for food pantry is on Tuesday from 3PM-5PM. 511 W 157th street ground floor
    - Must have valid ID and proof of address
- Please bring your own bags or cart
- Can either come on Thursday or Saturday, not both",Plentiful,open,open,open,7/13/2023 1:00 AM,3/2/2023,7/13/2023 1:00 AM,"2023-07-15 09:00AM-01:00PM ""[plentiful appointment]""
2023-07-22 09:00AM-01:00PM ""[plentiful appointment]""
2023-07-29 09:00AM-01:00PM ""[plentiful appointment]""
2023-08-05 09:00AM-01:00PM ""[plentiful appointment]""
2023-08-12 09:00AM-01:00PM ""[plentiful appointment]""
2023-08-19 09:00AM-01:00PM ""[plentiful appointment]""
2023-08-26 09:00AM-01:00PM ""[plentiful appointment]""
2023-09-02 09:00AM-01:00PM ""[plentiful appointment]""
2023-09-09 09:00AM-01:00PM ""[plentiful appointment]""
2023-09-16 09:00AM-01:00PM ""[plentiful appointment]""
2023-09-23 09:00AM-01:00PM ""[plentiful appointment]""
2023-09-30 09:00AM-01:00PM ""[plentiful appointment]""
2023-10-07 09:00AM-01:00PM ""[plentiful appointment]""","Th,Sa 09:00AM-01:00PM","2023-07-15 09:00AM-01:00PM ""[plentiful appointment]""
2023-07-22 09:00AM-01:00PM ""[plentiful appointment]""
2023-07-29 09:00AM-01:00PM ""[plentiful appointment]""
2023-08-05 09:00AM-01:00PM ""[plentiful appointment]""
2023-08-12 09:00AM-01:00PM ""[plentiful appointment]""
2023-08-19 09:00AM-01:00PM ""[plentiful appointment]""
2023-08-26 09:00AM-01:00PM ""[plentiful appointment]""
2023-09-02 09:00AM-01:00PM ""[plentiful appointment]""
2023-09-09 09:00AM-01:00PM ""[plentiful appointment]""
2023-09-16 09:00AM-01:00PM ""[plentiful appointment]""
2023-09-23 09:00AM-01:00PM ""[plentiful appointment]""
2023-09-30 09:00AM-01:00PM ""[plentiful appointment]""
2023-10-07 09:00AM-01:00PM ""[plentiful appointment]""",https://www.cloth159.org/health-and-wellness,yes,10032,40.834106,-73.94146,New York,NY,dc269d10-e9a9-47e4-9d28-b1e7b4e321e9
184,Staten Island Community Partnership,119 Tompkins Ave,"- Register through Plentiful. Text SICP to 726-879
- by appt only
- allows walk ins at the end but not guaranteed food
- families can come in every other week",FPC,open,open,,9/27/2022 8:00 PM,9/28/2022,,Tu 01:00PM-03:00PM,Tu 01:00PM-03:00PM,,http://sicpp.com/,yes,10304,40.621429,-74.077515,Staten Island,NY,0b81b666-54bd-4bd2-ba7a-3c16c0b15474
185,Act Care Foundation,1698 Victory Blvd,- Recommend making an appointment through the Plentiful app,FPC,open,open,,2/6/2023 7:00 PM,2/7/2023,,"We 01:00PM-04:00PM ""Every other Wednesday""","We 01:00PM-04:00PM ""Every other Wednesday""",,https://www.actcarefoundation.com/food-relief.html,no,10314,40.6109136,-74.15913745,Staten Island,NY,7f1edf09-4d0d-4be9-a366-1bf0adcca30d
186,Black Forum of Co-op City,"920 Baychester Ave, Building 1A","- Recommend bringing a large shopping cart, having 3 clean sturdy plastic bags and a pen to log in attendance
- Service is provided outdoors
- Government issued IDs are preferred (Driver's license, Real ID, Non-driver ID)",Plentiful,open,open,open,7/13/2023 1:00 AM,3/9/2023,7/13/2023 1:00 AM,"2023-07-14 11:00AM-12:45PM
2023-07-18 11:00AM-12:45PM
2023-07-20 11:00AM-12:45PM
2023-07-21 11:00AM-12:45PM
2023-07-25 11:00AM-12:45PM
2023-07-27 11:00AM-12:45PM
2023-07-28 11:00AM-12:45PM
2023-08-01 11:00AM-12:45PM
2023-08-03 11:00AM-12:45PM
2023-08-04 11:00AM-12:45PM
2023-08-08 11:00AM-12:45PM
2023-08-10 11:00AM-12:45PM
2023-08-11 11:00AM-12:45PM
2023-08-15 11:00AM-12:45PM
2023-08-17 11:00AM-12:45PM
2023-08-18 11:00AM-12:45PM
2023-08-22 11:00AM-12:45PM
2023-08-24 11:00AM-12:45PM
2023-08-25 11:00AM-12:45PM
2023-08-29 11:00AM-12:45PM
2023-08-31 11:00AM-12:45PM
2023-09-01 11:00AM-12:45PM
2023-09-05 11:00AM-12:45PM
2023-09-07 11:00AM-12:45PM
2023-09-08 11:00AM-12:45PM
2023-09-12 11:00AM-12:45PM
2023-09-14 11:00AM-12:45PM
2023-09-15 11:00AM-12:45PM
2023-09-19 11:00AM-12:45PM
2023-09-21 11:00AM-12:45PM
2023-09-22 11:00AM-12:45PM
2023-09-26 11:00AM-12:45PM
2023-09-28 11:00AM-12:45PM
2023-09-29 11:00AM-12:45PM
2023-10-03 11:00AM-12:45PM
2023-10-05 11:00AM-12:45PM
2023-10-06 11:00AM-12:45PM
2023-10-10 11:00AM-12:45PM",,"2023-07-14 11:00AM-12:45PM
2023-07-18 11:00AM-12:45PM
2023-07-20 11:00AM-12:45PM
2023-07-21 11:00AM-12:45PM
2023-07-25 11:00AM-12:45PM
2023-07-27 11:00AM-12:45PM
2023-07-28 11:00AM-12:45PM
2023-08-01 11:00AM-12:45PM
2023-08-03 11:00AM-12:45PM
2023-08-04 11:00AM-12:45PM
2023-08-08 11:00AM-12:45PM
2023-08-10 11:00AM-12:45PM
2023-08-11 11:00AM-12:45PM
2023-08-15 11:00AM-12:45PM
2023-08-17 11:00AM-12:45PM
2023-08-18 11:00AM-12:45PM
2023-08-22 11:00AM-12:45PM
2023-08-24 11:00AM-12:45PM
2023-08-25 11:00AM-12:45PM
2023-08-29 11:00AM-12:45PM
2023-08-31 11:00AM-12:45PM
2023-09-01 11:00AM-12:45PM
2023-09-05 11:00AM-12:45PM
2023-09-07 11:00AM-12:45PM
2023-09-08 11:00AM-12:45PM
2023-09-12 11:00AM-12:45PM
2023-09-14 11:00AM-12:45PM
2023-09-15 11:00AM-12:45PM
2023-09-19 11:00AM-12:45PM
2023-09-21 11:00AM-12:45PM
2023-09-22 11:00AM-12:45PM
2023-09-26 11:00AM-12:45PM
2023-09-28 11:00AM-12:45PM
2023-09-29 11:00AM-12:45PM
2023-10-03 11:00AM-12:45PM
2023-10-05 11:00AM-12:45PM
2023-10-06 11:00AM-12:45PM
2023-10-10 11:00AM-12:45PM",https://black-forum-of-co-op-city-food-pantry.business.site,yes,10475,40.876579,-73.8287211,Bronx,NY,4485cf67-1c32-49e7-adcf-40d56a380ee9
187,First Presbyterian Russell Sage Memorial Church,896 Central Ave,"- Recommend arriving early
- Please bring your own bags or cart",FPC,open,open,unknown,4/20/2023 8:00 PM,4/21/2023,,Sa 09:00AM-10:30AM,Sa 09:00AM-10:30AM,,https://www.brownstoner.com/services/business/d55c8ba253f908/first-presbyterian-church-896-central-ave-far-rockaway-ny-11691/,no,11691,40.6096563,-73.747046,Queens,NY,3c342028-27b0-436f-a9ad-7ceb84d00e3d
188,Church of God Feeding the Hungry,836 Classon Ave,"- Recipients can use the Plentiful app/website to make an appointment. Assistance making an appointment is also available onsite. 
- First-time recipients can show up without an appointment. 
- Food Donations: call ahead of time to discuss food donations. Do not just drop things off. ",Plentiful,open,open,open,7/13/2023 1:00 AM,7/7/2023,7/13/2023 1:00 AM,"2023-07-20 10:00AM-12:00PM ""[plentiful appointment]""
2023-07-27 10:00AM-12:00PM ""[plentiful appointment]""
2023-08-03 10:00AM-12:00PM ""[plentiful appointment]""
2023-08-10 10:00AM-12:00PM ""[plentiful appointment]""
2023-08-17 10:00AM-12:00PM ""[plentiful appointment]""
2023-08-24 10:00AM-12:00PM ""[plentiful appointment]""
2023-08-31 10:00AM-12:00PM ""[plentiful appointment]""
2023-09-07 10:00AM-12:00PM ""[plentiful appointment]""
2023-09-14 10:00AM-12:00PM ""[plentiful appointment]""
2023-09-21 10:00AM-12:00PM ""[plentiful appointment]""
2023-09-28 10:00AM-12:00PM ""[plentiful appointment]""
2023-10-05 10:00AM-12:00PM ""[plentiful appointment]""",Th 11:30AM-1:30PM,"2023-07-20 10:00AM-12:00PM ""[plentiful appointment]""
2023-07-27 10:00AM-12:00PM ""[plentiful appointment]""
2023-08-03 10:00AM-12:00PM ""[plentiful appointment]""
2023-08-10 10:00AM-12:00PM ""[plentiful appointment]""
2023-08-17 10:00AM-12:00PM ""[plentiful appointment]""
2023-08-24 10:00AM-12:00PM ""[plentiful appointment]""
2023-08-31 10:00AM-12:00PM ""[plentiful appointment]""
2023-09-07 10:00AM-12:00PM ""[plentiful appointment]""
2023-09-14 10:00AM-12:00PM ""[plentiful appointment]""
2023-09-21 10:00AM-12:00PM ""[plentiful appointment]""
2023-09-28 10:00AM-12:00PM ""[plentiful appointment]""
2023-10-05 10:00AM-12:00PM ""[plentiful appointment]""","https://access.nyc.gov/location/church-of-god-feeding-the-hungry/, https://networks.whyhunger.org/organization/view/6799",no,11238,40.6724275,-73.9612159,Brooklyn,NY,8b2adc84-43cd-4929-88db-a1089655e766
189,St. Paul Pentecostal Church,133 Thomas S Boyland St,- Receives food donations from Food Bank for NYC and United Way,FPC,open,open,unknown,9/21/2022 8:00 PM,9/22/2022,,Sa 11:00AM-01:00PM,Sa 11:00AM-01:00PM,,https://www.sppcny.org/,no,11233,40.680361,-73.913648,Brooklyn,NY,ceab4cb4-17ba-4822-8ed7-1c7d6989b0e0
190,St. John's Lutheran Church - Food Pantry,195 Maujer St,"- Real-time updates on the Mobile Food Pantry posted on the organization's website
- Line starts as early as 9:30AM, however there is usually enough food for all",FPC,open,open,,4/30/2023 8:00 PM,5/1/2023,,Sa 10:00AM-12:30PM,Sa 10:00AM-12:30PM,,http://sjebrooklyn.org/,no,11206,40.7112735,-73.9427379,Brooklyn,NY,14f80928-58d8-467a-8eaf-f80a8989e0ee
191,"Salvation Army, Stapleton Citadel Corps - Food Pantry",15 Broad St,"- Provides services to South Shore residents and residents living in 10304 zip code
- Must bring photo ID and current bill with name and address ",Plentiful,open,open,open,7/13/2023 1:00 AM,5/4/2023,7/13/2023 1:00 AM,"2023-07-18 12:00PM-01:15PM ""[plentiful appointment]""
2023-07-19 12:00PM-01:15PM ""[plentiful appointment]""
2023-07-20 12:00PM-01:15PM ""[plentiful appointment]""
2023-07-25 12:00PM-01:15PM ""[plentiful appointment]""
2023-07-26 12:00PM-01:15PM ""[plentiful appointment]""
2023-07-27 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-01 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-02 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-03 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-08 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-09 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-10 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-15 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-16 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-17 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-22 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-23 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-24 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-29 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-30 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-31 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-05 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-06 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-07 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-12 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-13 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-14 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-19 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-20 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-21 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-26 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-27 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-28 12:00PM-01:15PM ""[plentiful appointment]""
2023-10-03 12:00PM-01:15PM ""[plentiful appointment]""
2023-10-04 12:00PM-01:15PM ""[plentiful appointment]""
2023-10-05 12:00PM-01:15PM ""[plentiful appointment]""
2023-10-10 12:00PM-01:15PM ""[plentiful appointment]""","tu,we,th 12:00PM-01:30PM","2023-07-18 12:00PM-01:15PM ""[plentiful appointment]""
2023-07-19 12:00PM-01:15PM ""[plentiful appointment]""
2023-07-20 12:00PM-01:15PM ""[plentiful appointment]""
2023-07-25 12:00PM-01:15PM ""[plentiful appointment]""
2023-07-26 12:00PM-01:15PM ""[plentiful appointment]""
2023-07-27 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-01 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-02 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-03 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-08 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-09 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-10 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-15 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-16 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-17 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-22 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-23 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-24 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-29 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-30 12:00PM-01:15PM ""[plentiful appointment]""
2023-08-31 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-05 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-06 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-07 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-12 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-13 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-14 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-19 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-20 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-21 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-26 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-27 12:00PM-01:15PM ""[plentiful appointment]""
2023-09-28 12:00PM-01:15PM ""[plentiful appointment]""
2023-10-03 12:00PM-01:15PM ""[plentiful appointment]""
2023-10-04 12:00PM-01:15PM ""[plentiful appointment]""
2023-10-05 12:00PM-01:15PM ""[plentiful appointment]""
2023-10-10 12:00PM-01:15PM ""[plentiful appointment]""",https://www.salvationarmyusa.org/usn/cure-hunger/,yes,10304,40.62589509,-74.07572356,Staten Island,NY,d6c62644-c501-4431-b976-c6d869858290
192,Recovery House of Worship Brooklyn - Food Pantry,360 Schermerhorn St,- Provides prepacked grocery bags,FPC,open,open,,5/11/2023 8:00 PM,5/12/2023,,Sa 09:00AM-10:30AM,Sa 09:00AM-10:30AM,,https://www.rhowbk.org/,yes,11217,40.6865313,-73.9803445,Brooklyn,NY,85beb594-b991-4b53-991b-bbd067303861
193,Chilis on Wheels,125th St & Park Ave,- Provides exclusively vegan foods,FPC,open,open,,4/30/2023 8:00 PM,5/1/2023,,Fr 03:00PM-06:00PM,Fr 03:00PM-06:00PM,,http://www.chilisonwheels.org,no,10035,40.8050123,-73.9389017,New York,NY,894cc0f2-5a83-46f1-877c-6f22f29cd7bd
194,City Beets Kitchens / Project Renewal Holland House,351 W 42nd St,"- Non-Profit catering; not a food pantry
- Provides discounted meals packed in bulk
",FPC,unknown,unknown,,6/21/2023 8:00 PM,6/22/2023,,"mo,tu,we,th,fr,sa,su 07:00AM-03:00PM","mo,tu,we,th,fr,sa,su 07:00AM-03:00PM",,https://www.citybeetkitchens.org/,no,10036,40.758333,-73.991756,New York,NY,702679bb-a047-464a-af39-78beee26e92c
195,Met Council Manhattan Fulfillment Center,171 Lexington Ave,"- Provide groceries only
- Clients should contact in advance
- Digital pantry",FPC,open,open,,4/20/2023 8:00 PM,4/21/2023,,"mo,tu,we,th 09:00AM-05:00PM","mo,tu,we,th 09:00AM-05:00PM",,https://www.metcouncil.org/kosher-food-network,unknown,10016,40.7441472,-73.9810127,New York,NY,4b597138-669c-480e-90ba-f522c4def636
196,Calvary Baptist Church,110-10 Guy R Brewer Blvd,- provide a 3-day package of food items that can be prepared and served at home,FPC,unknown,unknown,,3/2/2023 7:00 PM,3/3/2023,,"We 10:00AM-12:00PM
Th 11:30AM-01:30PM","We 10:00AM-12:00PM
Th 11:30AM-01:30PM",,https://cbcjny.org,unknown,11433,40.6914526,-73.788009,Queens,NY,4876c5a9-f1f2-4af7-bf42-09883822eb63
197,"New York Common Pantry, Nourish","423 E 138th St, 2nd Floor","- Proof of income and state ID required
- For seniors only. To be eligible, seniors need to be 60 years old or older, have a New York state address and meet the financial eligibility requirements. Most seniors who qualify for SNAP will be eligible for Nourish. Once a senior is signed up, they can pick up a food package on a monthly basis.",FPC,open,open,,2/28/2023 7:00 PM,3/1/2023,,"mo,tu,we,th,fr 09:00AM-05:00PM
We 08:00AM-05:00PM
Sa 09:00AM-01:00PM ","mo,tu,we,th,fr 09:00AM-05:00PM
We 08:00AM-05:00PM
Sa 09:00AM-01:00PM ",,http://nycommonpantry.org/home/what-we-do/programs/,yes,10454,40.7915793,-73.9386835,Bronx,NY,90f906ed-b40b-459f-b2da-e17e9943f8cf
198,St. Stephen’s Outreach,874 Myrtle Ave,- proof of family composition needed,FPC,open,open,,2/1/2023 7:00 PM,2/2/2023,,"We,Fr 9:00AM-10:30AM ","We,Fr 9:00AM-10:30AM 
",,https://www.facebook.com/St-Stephens-United-Methodist-ChurchMarble-Hill-Bronx-103331378229523/?ref=page_internal,yes,10463,40.88430067,-73.89862096,Bronx,NY,c78262b3-7d22-4056-9f1b-8712dbc3499b
199,Mount Zion African Methodist Episcopal Church - Soup Kitchen,1765 Madison Ave,"- Proof of address, photo ID required
- Offers Kosher or Halal foods but needs to know in advance
- Pickups once a month",FPC,open,open,,4/30/2023 8:00 PM,5/1/2023,,"Fr 10:00AM-11:00AM
Sa 10:00AM-12:00PM","Fr 10:00AM-11:00AM
Sa 10:00AM-12:00PM",,https://mountzionamenyc.org/services,yes,10029,40.799702,-73.9447607,New York,NY,37cb29a1-723c-4757-adb8-68400af8e950
200,Cabrini Immigrant Services,701 Fort Washington Ave,- Proof of address required if not listed on the ID,Plentiful,open,open,open,7/13/2023 1:00 AM,9/23/2022,7/13/2023 1:00 AM,"2023-07-15 07:30AM-09:00AM
2023-07-22 07:30AM-09:00AM
2023-07-29 07:30AM-09:00AM
2023-08-05 07:30AM-09:00AM
2023-08-12 07:30AM-09:00AM
2023-08-19 07:30AM-09:00AM
2023-08-26 07:30AM-09:00AM
2023-09-02 07:30AM-09:00AM
2023-09-09 07:30AM-09:00AM
2023-09-16 07:30AM-09:00AM
2023-09-23 07:30AM-09:00AM
2023-09-30 07:30AM-09:00AM
2023-10-07 07:30AM-09:00AM",,"2023-07-15 07:30AM-09:00AM
2023-07-22 07:30AM-09:00AM
2023-07-29 07:30AM-09:00AM
2023-08-05 07:30AM-09:00AM
2023-08-12 07:30AM-09:00AM
2023-08-19 07:30AM-09:00AM
2023-08-26 07:30AM-09:00AM
2023-09-02 07:30AM-09:00AM
2023-09-09 07:30AM-09:00AM
2023-09-16 07:30AM-09:00AM
2023-09-23 07:30AM-09:00AM
2023-09-30 07:30AM-09:00AM
2023-10-07 07:30AM-09:00AM",http://cis-nyc.org/,yes,10040,40.7134117,-73.990831,New York,NY,a0685faa-1943-48ce-b698-96f0fd75ff34
